DrugBank_Name	DrugBank_ID	Synonyms	Targets_List_STRINGIDs	Targets_List_GeneNames	Targets_List
amisulpride	DB06288	4-amino-n-((1-ethyl-2-pyrrolidinyl)methyl)-5-(ethylsulfonyl)-2-methoxybenzamide | 4-amino-n-((1-ethyl-2-pyrrolidinyl)methyl)-5-(ethylsulfonyl)-o-anisamide | aminosultopride | amisulprida | amisulpride | amisulpridum	"9606.ENSP00000234961, 9606.ENSP00000437737, 9606.ENSP00000373169, 9606.ENSP00000337949, 9606.ENSP00000354859, 9606.ENSP00000394624"	"OPRD1, HTR2A, DRD3, HTR7, DRD2, OPRM1"	"P41143, P28223, P35462, P41145, P34969, P14416, P35372"
dapagliflozin	DB06292	"(2s,3r,4r,5s,6r)-2-(4-chloro-3-(4-ethoxybenzyl)phenyl)-6- (hydroxymethyl)tetrahydro-2h-pyran-3,4,5-triol | dapagliflozin | dapagliflozina"	9606.ENSP00000327943	SLC5A2	P31639
apoptone	DB06307		9606.ENSP00000381185	BCL2	P10415
darapladib	DB06311	darapladib	9606.ENSP00000356436	PLA2G4A	P47712
sgx-523	DB06314	"6-{[6-(1-methyl-1h-pyrazol-4-yl)[1,2,4]triazolo[4,3-b]pyridazin-3-yl]sulfanyl}quinoline"	9606.ENSP00000317272	MET	P08581
elotuzumab	DB06317	"elotuzumab | huluc63 | immunoglobulin g1, anti-(human protein cs1) (human-mouse huluc63 heavy chain), disulfide with human-mouse huluc63 kappa-chain, dimer"	9606.ENSP00000357022	SLAMF7	Q9NQ25
ave9633	DB06318	humy9-6-dm4	9606.ENSP00000262262	CD33	P20138
r-348	DB06321	"5-fluoro-n-(4-methyl-3-propionylaminosulfonylphenyl)-n'-(4-(prop-2-ynyloxy)phenyl)-2,4-pyrimidinediamine"	9606.ENSP00000432511	JAK3	P52333
carotuximab	DB06322	"carotuximab | chimeric anti-cd105 antibody | gamma1 heavy chain (1-448) (mus musculus vh (ighv6-6*01-(ighd) -ighj2*01) (8.10.9) (1-118) -homo sapiensighg1*01, gm17,1 (ch1 (119-216), hinge (217-231), ch2(232-341), ch3 (342-446), chs (447-448)) (119-448)), (221-213')-disulfide with kappa light chain | immunoglobulin g1-kappa, anti-(human endoglin (cd105 antigen)) human mouse chimeric monoclonal antibody .gamma.1 heavy chain (1-448) (mouse vh (mus musculus ighv6-6*01 (98%) (ighd)-ighj2*01 (87%)) (8.10.9) (1-118) -homo sapiens ighg1*01 (119-448)) (221-2 | immunoglobulin g1, anti-(human endoglin) (human-mus musculus monoclonal trc105 heavy chain), disulfide with human-mus musculus monoclonal trc105 .kappa.-chain, dimer"	9606.ENSP00000362299	ENG	P17813
xmab 2513	DB06324		9606.ENSP00000263932	TNFRSF8	P28908
pegpleranib	DB06325	pegpleranib	9606.ENSP00000330382	PDGFB	P01127
rg-7795	DB06329		9606.ENSP00000370034	TLR7	Q9NYK1
trodusquemine	DB06333	trodusquemine	"9606.ENSP00000219833, 9606.ENSP00000360683, 9606.ENSP00000270349"	"SLC6A2, PTPN1, SLC6A3"	"P23975, P18031, Q01959"
saxagliptin	DB06335	"(1s,3s,5s)-2-((2s)-amino(3-hydroxytricyclo(3.3.1.13,7)dec-1-yl)acetyl)-2-azabicyclo(3.1.0)hexane-3-carbonitrile | saxagliptin | saxagliptin anhydrous | saxagliptina"	9606.ENSP00000353731	DPP4	P27487
coltuximab ravtansine	DB06342	anti-cd19 humanized monoclonal antibody conjugated to dm4 | coltuximab ravtansine	9606.ENSP00000313419	CD19	P15391
teprotumumab	DB06343	"immunoglobulin g1, anti-(human insulin-like growth factor i receptor) (human monoclonal heavy chain), disulfide with human monoclonal light chain, dimer | teprotumumab | teprotumumab-trbw"	9606.ENSP00000497069	IGF1R	P08069
ar-9281	DB06345	apau	9606.ENSP00000430269	EPHX2	P34913
fiboflapon	DB06346	fiboflapon	9606.ENSP00000479870	ALOX5AP	P20292
cenisertib	DB06347	cenisertib	9606.ENSP00000216911	AURKA	O14965
elinogrel	DB06350	elinogrel	9606.ENSP00000307259	P2RY12	Q9H244
tezampanel	DB06354	"tezampanel | tezampanel (anhydrous) | tezampanel, anhydrous"	"9606.ENSP00000366233, 9606.ENSP00000327687"	"GABBR1, GRIK1"	"Q9UBS5, P39086"
trc093	DB06356		9606.ENSP00000379866	COL4A4	P53420
iclaprim	DB06358	iclaprim	9606.ENSP00000396308	DHFR	P00374
g4460	DB06359	c-myb antisense oligodeoxynucleotide | c-myb antisense oligonucleotide g4460	9606.ENSP00000339992	MYB	P10242
lucatumumab	DB06360	lucatumumab | recombinant anti-cd40 monoclonal antibody	9606.ENSP00000361359	CD40	P25942
becatecarin	DB06362	6-(2-(diethylamino)ethyl)-rebeccamycin | becatecarin | deae-rebeccamycin	"9606.ENSP00000411532, 9606.ENSP00000264331"	"TOP2A, TOP2B"	"P11388, Q02880"
pertuzumab	DB06366	2c4 antibody | moab 2c4 | monoclonal antibody 2c4 | pertuzumab | rhumab-2c4	9606.ENSP00000269571	ERBB2	P04626
relacatib	DB06367	relacatib	9606.ENSP00000271651	CTSK	P43235
siplizumab	DB06371	siplizumab	9606.ENSP00000358490	CD2	P06729
rilonacept	DB06372	il-1 trap | il-1-trap | interleukin-1 (il-1) trap | rilonacept	"9606.ENSP00000263341, 9606.ENSP00000263339, 9606.ENSP00000259206"	"IL1B, IL1A, IL1RN"	"P01584, P01583, P18510"
elacestrant	DB06374	"(2r)-2-(2-(ethyl-((4-(2-(ethylamino)ethyl)phenyl)methyl)amino)-4-methoxy-phenyl)tetralin-6-ol | (6r)-6-(2-(ethyl((4-(2- (ethylamino)ethyl)phenyl)methyl)amino)-4-methoxyphenyl)- 5,6,7,8-tetrahydronaphthalen-2-ol | 2-naphthalenol, 6-(2-(ethyl((4-(2-(ethylamino)ethyl)phenyl)methyl)amino)-4-methoxyphenyl)-5,6,7,8-tetrahydro-, (6r)- | elacestrant"	9606.ENSP00000405330	ESR1	P03372
chgn111	DB06376		9606.ENSP00000394734	CLK1	P49759
xaliproden	DB06393	xaliproden	9606.ENSP00000316244	HTR1A	P08908
bazedoxifene	DB06401	bazedoxifene | bazedoxifeno	"9606.ENSP00000405330, 9606.ENSP00000343925"	"ESR1, ESR2"	"P03372, Q92731"
ambrisentan	DB06403	"(2s)-2-[(4,6-dimethylpyrimidin-2-yl)oxy]-3-methoxy- 3,3-diphenylpropanoic acid | ambrisentan"	"9606.ENSP00000366416, 9606.ENSP00000315011"	"EDNRB, EDNRA"	"P24530, P25101"
human c1-esterase inhibitor	DB06404	"c1 esterase inhibitor (human) | c1 inhibitor | c1 inhibitor (human) | c1 inhibitor human | c1-esterase inhibitor, human | c1-inh | c1-inhibiting factor | c1-inhibitor, plasma derived | human c1 inhibitor | human c1-esterase inhibitor | plasma protease c1 inhibitor"	"9606.ENSP00000308541, 9606.ENSP00000384957, 9606.ENSP00000220809, 9606.ENSP00000385035, 9606.ENSP00000444271, 9606.ENSP00000264690, 9606.ENSP00000253496"	"F2, F11, PLAT, C1S, C1R, KLKB1, F12"	"P00734, P03951, P00750, P09871, P00736, P03952, P00748"
idraparinux	DB06406		9606.ENSP00000364709	F10	P00742
taribavirin	DB06408	ribavirin amidine | taribavirin | viramidine	"9606.ENSP00000339479, 9606.ENSP00000498074, 9606.ENSP00000345096"	"NT5C2, ENPP1, IMPDH1"	"P49902, P22413, P20839"
morphine glucuronide	DB06409	m6g | morphine 6-beta-d-glucopyranosiduronide | morphine 6-glucuronide | morphine glucuronide | morphine-6-glucuronide	"9606.ENSP00000234961, 9606.ENSP00000394624"	"OPRD1, OPRM1"	"P41143, P41145, P35372"
doxercalciferol	DB06410	"(1s,3r,5z,7e,22e)-9,10-secoergosta-5,7,10,22-tetraene-1,3-diol | 1-hydroxyergocalciferol | 1-hydroxyvitamin d2 | 1î±-hydroxyergocalciferol | 1î±-hydroxyvitamin d2 | doxercalciferol | doxercalciferolum | doxercalcifã©rolum"			P11473
oxymetholone	DB06412	17î²-hydroxy-2-hydroxymethylidene-17î±-methyl-3-androstanone | oximetolona | oxymetholon | oxymã©tholone | oxymetholone | oxymetholonum	"9606.ENSP00000363822, 9606.ENSP00000365651"	"AR, NPPB"	"P10275, P16860"
armodafinil	DB06413	(â)-2-[(r)-(diphenylmethyl)sulfinyl]acetamide | (â)-(r)-modafinil | (â)-modafinil | (r)-(â)-modafinil | (r)-modafinil | armodafinil | armodafinilo | armodafinilum | r-modafinil	9606.ENSP00000270349	SLC6A3	Q01959
annamycin	DB06420	2'-iodo-3'-hydroxy-4'-epi-4-demethoxydoxorubicin	9606.ENSP00000411532	TOP2A	P11388
declopramide	DB06421	declopramide	"9606.ENSP00000411532, 9606.ENSP00000264331"	"TOP2A, TOP2B"	"P11388, Q02880"
ticalopride	DB06422	norcisapride | ticalopride	"9606.ENSP00000353915, 9606.ENSP00000347754"	"HTR4, HTR3A"	"Q13639, P46098"
endostatin	DB06423	endostatins | recombinant human endostatin	"9606.ENSP00000361405, 9606.ENSP00000219070, 9606.ENSP00000260302, 9606.ENSP00000331736, 9606.ENSP00000341189"	"MMP9, MMP2, MMP13, SELE, PTK2"	"P14780, P08253, P45452, P16581, Q05397"
talnetant	DB06429	talnetant	9606.ENSP00000303325	TACR3	P29371
tezacitabine	DB06433	2'-deoxy-2'-(fluoromethylene)cytidine | tezacitabine	9606.ENSP00000300738	RRM1	P23921
semaxanib	DB06436	semaxanib	9606.ENSP00000263923	KDR	P35968
tyloxapol	DB06439	tyloxapol	9606.ENSP00000497642	LPL	P06858
cangrelor	DB06441	"[dichloro-[[[(2r,3s,4r,5r)-3,4-dihydroxy-5-[6-(2-methylsulfanylethylamino)-2-(3,3,3-trifluoropropylsulfanyl)purin-9-yl]oxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]methyl]phosphonic acid | cangrelor"	9606.ENSP00000307259	P2RY12	Q9H244
avasimibe	DB06442	avasimibe	9606.ENSP00000353720	CES1	P23141
dexanabinol	DB06444	sinnabidol	9606.ENSP00000398698	TNF	P01375
dotarizine	DB06446	dotarizina | dotarizine	"9606.ENSP00000316244, 9606.ENSP00000489829, 9606.ENSP00000437737, 9606.ENSP00000276198"	"HTR1A, CACNA1A, HTR2A, HTR2C"	"P08908, O00555, P28223, P28335"
e5531	DB06447		9606.ENSP00000363089	TLR4	O00206
lonafarnib	DB06448	lonafarnib | lonafarnibum	"9606.ENSP00000246166, 9606.ENSP00000303423"	"FNTB, FNTA"	"P49356, P49354"
aprinocarsen	DB06451	aprinocarsen | pkc-alpha	9606.ENSP00000408695	PRKCA	P17252
sarizotan	DB06454	sarizotan	"9606.ENSP00000316244, 9606.ENSP00000373169, 9606.ENSP00000354859"	"HTR1A, DRD3, DRD2"	"P08908, P35462, P14416"
tecastemizole	DB06457	norastemizole | tecastemizole	9606.ENSP00000262186	KCNH2	Q12809
enrasentan	DB06460	enrasentan	"9606.ENSP00000366416, 9606.ENSP00000315011"	"EDNRB, EDNRA"	"P24530, P25101"
cariporide	DB06468	cariporide	9606.ENSP00000263980	SLC9A1	P19634
lestaurtinib	DB06469	lestaurtinib	9606.ENSP00000241453	FLT3	P36888
clomethiazole	DB06470	clomethiazole | clomethiazolum | clometiazol	9606.ENSP00000393097	GABRA1	P14867
naxifylline	DB06471	"8-((2s,5,6-exo)-5,6-epoxy-2-norbonyl)-1,3-dipropylxanthine | naxifylline"	9606.ENSP00000356205	ADORA1	P30542
fradafiban	DB06472	fradafiban	"9606.ENSP00000262407, 9606.ENSP00000452786"	"ITGA2B, ITGB3"	"P08514, P05106"
sibrotuzumab	DB06474	sibrotuzumab	9606.ENSP00000188790	FAP	Q12884
ruplizumab	DB06475	recombinant humanized monoclonal antibody 5c8 | ruplizumab	9606.ENSP00000359663	CD40LG	P29965
sumanirole	DB06477	sumanirole	"9606.ENSP00000176183, 9606.ENSP00000373169, 9606.ENSP00000354859"	"DRD4, DRD3, DRD2"	"P21917, P35462, P14416"
propentofylline	DB06479	propentofylline	9606.ENSP00000370078	PDE4A	P27815
prucalopride	DB06480	prucaloprida | prucalopride	9606.ENSP00000353915	HTR4	Q13639
manitimus	DB06481	manitimus	9606.ENSP00000219240	DHODH	Q02127
enzastaurin	DB06486	enzastaurin	"9606.ENSP00000451828, 9606.ENSP00000406472, 9606.ENSP00000496129, 9606.ENSP00000428056, 9606.ENSP00000216911, 9606.ENSP00000372023, 9606.ENSP00000391090, 9606.ENSP00000313950"	"AKT1, CDK15, PRKCB, PIK3R1, AURKA, CHEK2, CHEK1, AURKB"	"P31749, Q96Q40, P05771, P27986, O14965, O96017, O14757, Q96GD4"
mirococept	DB06492	mirococept | myristoylated recombinant scr1-3 of human complement reseptor type i	9606.ENSP00000245907	C3	P01024
sufugolix	DB06494	sufugolix	9606.ENSP00000226413	GNRHR	P30968
onercept	DB06495	onercept | r-htbp-1	9606.ENSP00000398698	TNF	P01375
aplaviroc	DB06497	aplaviroc	9606.ENSP00000292303	CCR5	P51681
mln2222	DB06503		9606.ENSP00000416561	CFB	P00751
repinotan	DB06506	repinotan	9606.ENSP00000316244	HTR1A	P08908
muraglitazar	DB06510	muraglitazar	"9606.ENSP00000385523, 9606.ENSP00000287820"	"PPARA, PPARG"	"Q07869, P37231"
amgn-0007	DB06511	osteoclastogenesis inhibitory factor | osteoprotegerin recombinant | ropg	9606.ENSP00000381775	TNFSF11	O14788
deramciclane	DB06512	deramciclane	"9606.ENSP00000437737, 9606.ENSP00000276198"	"HTR2A, HTR2C"	"P28223, P28335"
resiniferatoxin	DB06515	resiniferatoxin | rtx	9606.ENSP00000459962	TRPV1	Q8NER1
r-1487	DB06518		9606.ENSP00000229795	MAPK14	Q16539
ertiprotafib	DB06521	ertiprotafib	"9606.ENSP00000385523, 9606.ENSP00000287820, 9606.ENSP00000360683, 9606.ENSP00000430684"	"PPARA, PPARG, PTPN1, IKBKB"	"Q07869, P37231, P18031, O14920"
ganstigmine	DB06525	ganstigmine	9606.ENSP00000303211	ACHE	P22303
resiquimod	DB06530	resiquimod	"9606.ENSP00000370034, 9606.ENSP00000312082"	"TLR7, TLR8"	"Q9NYK1, Q9NR97"
ragaglitazar	DB06533	ragaglitazar	"9606.ENSP00000385523, 9606.ENSP00000287820"	"PPARA, PPARG"	"Q07869, P37231"
thrombopoietin	DB06534		9606.ENSP00000361548	MPL	P40238
tesaglitazar	DB06536	tesaglitazar	"9606.ENSP00000385523, 9606.ENSP00000287820"	"PPARA, PPARG"	"Q07869, P37231"
robalzotan	DB06538	(r)-3-(dicyclobutylamino)-8-fluoro-5-chromancarboxamide | robalzotan	9606.ENSP00000316244	HTR1A	P08908
astaxanthin	DB06543		9606.ENSP00000216797	NFKBIA	P25963
atibuclimab	DB06546	"atibuclimab | ic14, (recombinant chimeric mab against human cd14) | immunoglobulin g4, anti-(human cd14 antigen) (human-mus musculus monoclonal ic14 .gamma.4-chain), disulfide with human-mus musculus monoclonal ic14 .kappa.-chain, dimer"	9606.ENSP00000385519	CD14	P08571
minodronic acid	DB06548	minodronate | minodronic acid	"9606.ENSP00000349078, 9606.ENSP00000282841"	"FDPS, GGPS1"	"P14324, O95749"
labradimil	DB06549	labradimil | labradimilum	9606.ENSP00000450482	BDKRB2	P30411
bivatuzumab	DB06550	bivatuzumab	9606.ENSP00000398632	CD44	P16070
anpocogin	DB06552	recombinant nematode anticoagulant protein c2 | recombinant nematode anticoagulant protein c2 (rnapc2) | recombinant nematode anticoagulant protein-2 | rnapc2	"9606.ENSP00000364709, 9606.ENSP00000364731, 9606.ENSP00000334145"	"F10, F7, F3"	"P00742, P08709, P13726"
tezosentan	DB06558	tezosentan	"9606.ENSP00000366416, 9606.ENSP00000315011"	"EDNRB, EDNRA"	"P24530, P25101"
pascolizumab	DB06560	pascolizumab	9606.ENSP00000231449	IL4	P05112
adipiplon	DB06579	adipiplon	"9606.ENSP00000393097, 9606.ENSP00000427603, 9606.ENSP00000359337, 9606.ENSP00000382953, 9606.ENSP00000295452, 9606.ENSP00000410732, 9606.ENSP00000479113"	"GABRA1, GABRA2, GABRA3, GABRA5, GABRG1, GABRG2, GABRG3"	"P14867, P47869, P34903, P31644, Q8N1C3, P18507, Q99928"
tg4010	DB06584	mva-muc1-il2	"9606.ENSP00000226730, 9606.ENSP00000484824"	"IL2, MUC1"	"P60568, P15941"
cetilistat	DB06586	cetilistat	9606.ENSP00000358223	PNLIP	P16233
mitemcinal	DB06587	mitemcinal	9606.ENSP00000218721	MLNR	O43193
pazopanib	DB06589	pazopanib | pazopanibum	"9606.ENSP00000261937, 9606.ENSP00000282397, 9606.ENSP00000261799, 9606.ENSP00000263923, 9606.ENSP00000288135, 9606.ENSP00000480791, 9606.ENSP00000257290, 9606.ENSP00000398655, 9606.ENSP00000339824, 9606.ENSP00000345492"	"FLT4, FLT1, PDGFRB, KDR, KIT, FGF1, PDGFRA, ITK, FGFR3, SH2B3"	"P35916, P17948, P09619, P35968, P10721, P05230, P16234, Q08881, P22607, Q9UQQ2"
agomelatine	DB06594	agomelatina | agomelatine	"9606.ENSP00000257068, 9606.ENSP00000302811, 9606.ENSP00000276198"	"MTNR1B, MTNR1A, HTR2C"	"P49286, P48039, P28335"
midostaurin	DB06595	4'-n-benzoylstaurosporine | midostaurin	"9606.ENSP00000241453, 9606.ENSP00000261799, 9606.ENSP00000263923, 9606.ENSP00000288135, 9606.ENSP00000257290, 9606.ENSP00000408695"	"FLT3, PDGFRB, KDR, KIT, PDGFRA, PRKCA"	"P36888, P09619, P35968, P10721, P16234, P17252"
lexatumumab	DB06599	lexatumumab	9606.ENSP00000276431	TNFRSF10B	O14763
reslizumab	DB06602	reslizumab	9606.ENSP00000231454	IL5	P05113
panobinostat	DB06603	"(2e)-n-hydroxy-3-[4-({[2-(2-methyl-1h-indol-3-yl)ethyl]amino}methyl)phenyl]acrylamide | 2-propenamide, n-hydroxy-3-(4-(((2-(2-methyl-1h-indol-3-yl)ethyl)amino)methyl)phenyl)-, (2e)- | hydroxypropyl-b-cyclodextrin-panobinostat complex | panobinostat | panobinostatum"	"9606.ENSP00000362649, 9606.ENSP00000216271, 9606.ENSP00000295757, 9606.ENSP00000430432, 9606.ENSP00000302967, 9606.ENSP00000264606, 9606.ENSP00000225983, 9606.ENSP00000365804, 9606.ENSP00000080059, 9606.ENSP00000362674, 9606.ENSP00000408617"	"HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9"	"Q13547, Q969S8, Q96DB2, Q92769, O15379, P56524, Q9UQL6, Q9UBN7, Q8WUI4, Q9BY41, Q9UKV0"
apixaban	DB06605	apixabã¡n | apixaban | apixabanum	9606.ENSP00000364709	F10	P00742
teplizumab	DB06606	hokt3 gamma1(ala-ala) | humanized okt3 | teplizumab-mzwv	9606.ENSP00000354566	CD3E	P07766
catumaxomab	DB06607	catumaxomab	"9606.ENSP00000354566, 9606.ENSP00000358165, 9606.ENSP00000433642, 9606.ENSP00000356946, 9606.ENSP00000271450, 9606.ENSP00000263735"	"CD3E, FCGR1A, FCGR3B, FCGR3A, FCGR2A, EPCAM"	"P07766, P12314, O75015, P08637, P12318, P16422"
mepolizumab	DB06612	mepolizumab	9606.ENSP00000231454	IL5	P05113
bosutinib	DB06616	"4-((2,4-dichloro-5-methoxyphenyl)amino)-6-methoxy-7-(3-(4-methyl-1-piperazinyl)propoxy)-3-quinolinecarbonitrile | bosutinib"	"9606.ENSP00000361423, 9606.ENSP00000362680, 9606.ENSP00000302486, 9606.ENSP00000365012, 9606.ENSP00000358770, 9606.ENSP00000428924, 9606.ENSP00000319060, 9606.ENSP00000262948, 9606.ENSP00000387246, 9606.ENSP00000363117, 9606.ENSP00000370912"	"ABL1, SRC, MAP2K1, HCK, SLK, LYN, CAMK2G, MAP2K2, MAP3K2, FGR, TEC"	"P00519, P12931, Q02750, P08631, Q9H2G2, P07948, Q13555, P36507, Q9Y2U5, P09769, P42680"
flupirtine	DB06623	flupirtine | flupirtino | flupirtinum	9606.ENSP00000280155	ADRA2A	P08913
axitinib	DB06626	axitinib | axitinibum | n-methyl-2-[[3-[(e)-2-pyridin-2-ylethenyl]-1h-indazol-6-yl]sulfanyl]benzamide	"9606.ENSP00000261937, 9606.ENSP00000282397, 9606.ENSP00000263923"	"FLT4, FLT1, KDR"	"P35916, P17948, P35968"
casopitant	DB06634	casopitant	"9606.ENSP00000303522, 9606.ENSP00000498939"	"TACR1, CYP3A4"	"P25103, P08684"
otamixaban	DB06635	otamixaban	9606.ENSP00000364709	F10	P00742
dalfampridine	DB06637	4-aminopyridine | 4-ap | 4-pyridinamine | 4-pyridylamine | dalfampridine | fampridina | fampridine | fampridinum | p-aminopyridine | î³-aminopyridine	"9606.ENSP00000371985, 9606.ENSP00000333496, 9606.ENSP00000319591, 9606.ENSP00000328511, 9606.ENSP00000487785, 9606.ENSP00000358784, 9606.ENSP00000252321, 9606.ENSP00000280684, 9606.ENSP00000221444, 9606.ENSP00000358786, 9606.ENSP00000360806, 9606.ENSP00000430846, 9606.ENSP00000265969, 9606.ENSP00000449253, 9606.ENSP00000434241, 9606.ENSP00000218176"	"KCNA1, KCND2, KCND3, KCNA4, KCNA2, KCNA3, KCNA5, KCNA6, KCNA7, KCNA10, KCNB1, KCNB2, KCNC1, KCNC2, KCNC3, KCND1"	"Q09470, Q9NZV8, Q9UK17, P22459, P16389, P22001, P22460, P17658, Q96RP8, Q16322, Q14721, Q92953, P48547, Q96PR1, Q14003, Q9NSA2"
perifosine	DB06641	perifosine	"9606.ENSP00000451828, 9606.ENSP00000215832, 9606.ENSP00000408695"	"AKT1, MAPK1, PRKCA"	"P31749, P28482, P17252"
bevasiranib	DB06642	bevasiranib			P15692
denosumab	DB06643	denosumab	9606.ENSP00000381775	TNFSF11	O14788
ofatumumab	DB06650	"humax-cd20 | humax-cd20, 2f2 | ofatumumab | ofatumumabum"	9606.ENSP00000433277	MS4A1	P11836
vicriviroc	DB06652	vicriviroc	9606.ENSP00000292303	CCR5	P51681
safinamide	DB06654	safinamida | safinamide	9606.ENSP00000367309	MAOB	P27338
liraglutide	DB06655	arg34lys26-(n-îµ-(î³-glu(n-î±-hexadecanoyl)))-glp-1[7-37] | liraglutida | liraglutide | liraglutide (genetical recombination) | liraglutide (rdna origin) | liraglutide recombinant | liraglutidum | nâ²â¶-(hexadecanoyl-gamma-glutamyle)-[34-arginine]glp-1-(7-37)-peptide | nâ²â¶-(n-hexadecanoyl-l-gamma-glutamyl)-[34-l-arginine]glucagon-like peptide 1-(7-37)-peptide	9606.ENSP00000362353	GLP1R	P43220
saredutant	DB06660	saredutant	9606.ENSP00000362403	TACR2	P21452
pasireotide	DB06663	cyclo((4r)-4-(2-aminoethylcarbamoyloxy)-l-prolyl-l-phenylglycyl-d-tryptophyl-l-lysyl-4-o-benzyl-l-tyrosyl-l- phenylalanyl-) | pasireotida | pasireotide | pasirã©otide | pasireotidum	"9606.ENSP00000267377, 9606.ENSP00000293897, 9606.ENSP00000350198, 9606.ENSP00000480971"	"SSTR1, SSTR5, SSTR2, SSTR3"	"P30872, P35346, P30874, P32745"
odanacatib	DB06670	odanacatib	9606.ENSP00000271651	CTSK	P43235
golimumab	DB06674	golimumab	9606.ENSP00000398698	TNF	P01375
clazosentan	DB06677	clazosentan	9606.ENSP00000315011	EDNRA	P25101
esmirtazapine	DB06678	"(s)-1,2,3,4,10,14b-hexahydro-2-methylpyrazino(2,1-a)pyrido(2,3-c)(2)benzazepine | esmirtazapine"	"9606.ENSP00000380247, 9606.ENSP00000280155, 9606.ENSP00000480573, 9606.ENSP00000386069, 9606.ENSP00000437737, 9606.ENSP00000258400, 9606.ENSP00000276198"	"HRH1, ADRA2A, ADRA2B, ADRA2C, HTR2A, HTR2B, HTR2C"	"P35367, P08913, P18089, P18825, P28223, P41595, P28335"
asoprisnil	DB06680	asoprisnil	9606.ENSP00000325120	PGR	P06401
belatacept	DB06681	belatacept	"9606.ENSP00000332049, 9606.ENSP00000264246"	"CD86, CD80"	"P42081, P33681"
vilazodone	DB06684	vilazodona | vilazodone | vilazodonum	"9606.ENSP00000316244, 9606.ENSP00000261707"	"HTR1A, SLC6A4"	"P08908, P31645"
sipuleucel-t	DB06688	sipuleucel-t	9606.ENSP00000323036	ACP3	P15309
ethanolamine oleate	DB06689	ethamolin | ethanolamine oleate | monoethanolamine oleate | monoethanolamini oleas | oldamin | oleate de monoethanolamine | oleato de monoetanolaminio	9606.ENSP00000253496	F12	P00748
mepyramine	DB06691	"mepiramina | mepyramine | n-(p-methoxybenzyl)-n',n'-dimethyl-n-(î±-pyridyl)ethylenediamine | n-[(4-methoxyphenyl)methyl]-n',n'-dimethyl-n-2-pyridinyl-1,2-ethanediamine | n',n'-dimethyl-n-(p-methoxybenzyl)-n-(2-pyridyl)ethylenediamine | pyranisamine | pyrilamine"	9606.ENSP00000380247	HRH1	P35367
aprotinin	DB06692	"aprotinin | aprotinin (bovine) | aprotinin biosynthetic | aprotinin bovine | aprotinin concentrated solution | aprotinina | aprotinine | aprotininum | bovine aprotinin | bovine pancreatic trypsin inhibitor | bpti | fibrinolysis inhibitor | trypsin inhibitor, pancreatic basic"	"9606.ENSP00000308938, 9606.ENSP00000301420, 9606.ENSP00000308720, 9606.ENSP00000354294"	"PLG, KLK1, PRSS1, CTRB1"	"P00747, P06870, P07477, P17538"
mevastatin	DB06693	compactin | mevastatin | mevastatina | mã©vastatine | mevastatinum	9606.ENSP00000287936	HMGCR	P04035
xylometazoline	DB06694	xylometazoline | xylometazolinum | xylomethazoline	"9606.ENSP00000280155, 9606.ENSP00000386069, 9606.ENSP00000369960, 9606.ENSP00000480573, 9606.ENSP00000306662, 9606.ENSP00000368766"	"ADRA2A, ADRA2C, ADRA1A, ADRA2B, ADRA1B, ADRA1D"	"P08913, P18825, P35348, P18089, P35368, P25100"
dabigatran etexilate	DB06695	dabigatran etexilate	9606.ENSP00000308541	F2	P00734
betahistine	DB06698	[2-(2-pyridyl)ethyl]methylamine | 2-(î²-methylaminoethyl)pyridine | 2-[2-(methylamino)ethyl]pyridine | betahistina | bã©tahistine | betahistine | betahistinum | n-methyl-2-(2-pyridinyl)ethanamine | n-methyl-2-pyridineethanamine	"9606.ENSP00000380247, 9606.ENSP00000342560"	"HRH1, HRH3"	"P35367, Q9Y5N1"
degarelix	DB06699	degarelix	9606.ENSP00000226413	GNRHR	P30968
desvenlafaxine	DB06700	desvenlafaxina | desvenlafaxine | o-desmethylvenlafaxine | odv	"9606.ENSP00000219833, 9606.ENSP00000270349, 9606.ENSP00000261707"	"SLC6A2, SLC6A3, SLC6A4"	"P23975, Q01959, P31645"
dexmethylphenidate	DB06701	(+)-threo-methylphenidate | d-threo-methylphenidate | d-tmp | dexmã©thylphã©nidate | dexmethylphenidate | dexmethylphenidatum | dexmetilfenidato | methyl (r)-phenyl[(r)-piperidin-2-yl]acetate	"9606.ENSP00000219833, 9606.ENSP00000270349, 9606.ENSP00000261707"	"SLC6A2, SLC6A3, SLC6A4"	"P23975, Q01959, P31645"
fesoterodine	DB06702	feso | fesoterodina | fesoterodine	"9606.ENSP00000255380, 9606.ENSP00000306490, 9606.ENSP00000372750, 9606.ENSP00000409378, 9606.ENSP00000399745"	"CHRM3, CHRM1, CHRM5, CHRM4, CHRM2"	"P20309, P11229, P08912, P08173, P08172"
isometheptene	DB06706	isometepteno | isometheptene | isometheptenum	"9606.ENSP00000496339, 9606.ENSP00000369960"	"SLC18A2, ADRA1A"	"Q05940, P35348"
